TRT,BLOCK,N,K,SOIL K AVE
1,1,1,1,101
2,1,1,5,184
3,1,1,9,241
4,1,3,1,93
5,1,3,5,162
6,1,3,9,247
7,1,5,1,82
8,1,5,5,141
9,1,5,9,202.5
10,1,7,1,73
11,1,7,5,116
12,1,7,9,193.5
13,1,9,1,60.5
14,1,9,5,109
15,1,9,9,157.5
8,2,5,5,136
5,2,3,5,163.5
10,2,7,1,57.5
6,2,3,9,238
15,2,9,9,136
3,2,1,9,278
1,2,1,1,107.5
4,2,3,1,101
9,2,5,9,183.5
13,2,9,1,61
7,2,5,1,81
14,2,9,5,106.5
12,2,7,9,188
11,2,7,5,118.5
2,2,1,5,191
14,3,9,5,89
4,3,3,1,87
2,3,1,5,184.5
5,3,3,5,178
9,3,5,9,213.5
13,3,9,1,66.5
8,3,5,5,170
10,3,7,1,90
1,3,1,1,124.5
3,3,1,9,284
11,3,7,5,132.5
12,3,7,9,199
7,3,5,1,82.5
15,3,9,9,146.5
6,3,3,9,231.5
6,4,3,9,231.5
10,4,7,1,69.5
7,4,5,1,73
8,4,5,5,125
11,4,7,5,124.5
15,4,9,9,156
3,4,1,9,294.5
14,4,9,5,107
12,4,7,9,187
5,4,3,5,167.5
13,4,9,1,61.5
4,4,3,1,113.5
9,4,5,9,267
1,4,1,1,131.5
2,4,1,5,210.5
